time,x,y,z
26,-0.26735,9.82509,1.04571
76,0.03404,9.77944,1.15576
126,0.15335,9.72123,1.27526
177,-0.18125,9.81938,1.00755
226,-0.00909,9.77511,1.17485
277,0.06285,9.77470,1.28476
326,-0.05240,9.75162,1.17004
377,0.04748,9.67423,1.18921
426,0.32820,9.45679,1.34224
477,-0.28170,9.81126,1.19379
526,-0.23041,9.67651,1.03140
576,0.08486,9.57342,1.17490
627,0.02385,9.71261,1.16053
676,0.04861,9.78916,1.27998
727,-0.06162,9.77597,1.31813
776,0.06692,9.69345,1.29909
827,-0.10229,9.53220,1.16523
876,-0.11504,9.70922,1.17000
931,0.11603,9.79881,1.56664
977,0.00564,9.82727,1.05543
1026,0.05725,9.65127,1.60482
1077,-0.03808,9.74202,1.20827
1126,-0.00962,9.70372,1.29427
1177,-0.12438,9.73326,1.19388
1227,0.07080,9.57901,1.43763
1276,-0.07609,9.75717,1.38500
1327,-0.00461,9.72757,1.29427
1376,-0.05276,9.68532,1.41367
1427,-0.06236,9.69939,1.26557
1476,0.02906,9.72763,1.44238
1527,0.17691,9.68267,1.23705
1576,0.01377,9.64138,1.29906
1627,0.06190,9.68357,1.15100
1676,0.06683,9.68388,1.29431
1726,0.32449,9.55295,1.54287
1777,0.07711,9.78365,1.08413
1826,0.06619,9.66824,0.77361
1877,-0.07510,9.84373,1.58563
1926,-0.07127,9.77122,1.27990
1979,0.06675,9.67901,1.25610
2027,-0.08667,9.65198,1.32766
2076,-0.11125,9.62726,0.90726
2126,-0.20160,9.66242,1.23683
2177,-0.09623,9.67546,1.13180
2226,-0.19143,9.72452,1.27028
2277,-0.23866,9.82004,1.05050
2326,-0.10814,9.90130,1.54740
2377,0.00693,9.88655,1.82454
2427,0.10181,9.83203,1.41376
2477,0.15733,9.62106,1.37558
2527,-0.00561,9.64098,1.06975
2576,-0.00083,9.61757,1.28950
2627,0.01835,9.64079,1.08887
2677,0.08518,9.61627,1.09847
2727,0.10515,9.71157,1.05071
2777,0.16313,9.76837,1.04119
2827,-0.05739,9.72313,1.22258
2877,0.02873,9.73146,1.06021
2927,0.07597,9.64532,1.20355
2983,0.12349,9.63460,0.92173
3027,0.11894,9.61188,1.37555
3077,0.28966,9.48461,0.84062
3126,0.33276,9.49821,0.71167
3176,0.38195,9.69255,0.23399
3227,-0.00955,9.76929,0.74490
3277,-0.16658,9.90409,0.51551
3326,0.15970,9.99135,0.34373
3377,-0.22415,9.82964,1.10305
3427,-0.42157,9.70733,1.14115
3476,-0.56338,9.47706,0.27164
3526,-0.70594,9.52323,0.98334
3577,-0.71228,9.45398,0.02792
3627,-1.02184,9.54531,0.94971
3676,-1.13586,9.62342,1.15984
3727,-1.07380,9.67840,0.44331
3777,-0.89559,9.78671,0.48164
3826,-0.82294,9.91422,0.13295
3877,-0.24812,9.89050,0.50591
3927,-0.52323,10.09593,1.30830
3977,-0.51412,10.56918,1.32741
4029,-0.43970,10.85060,1.36090
4077,-0.51992,10.52465,0.70161
