time,x,y,z
38,-0.19699,9.78798,-0.06728
85,0.03774,9.79997,-0.08624
135,-0.22101,9.79270,-0.16761
185,0.03285,9.78575,-0.05758
235,-0.10604,9.79170,-0.12455
285,-0.03412,9.80058,-0.12928
335,-0.11570,9.77756,-0.09112
385,-0.07253,9.79137,-0.13886
435,-0.06776,9.78659,-0.11975
485,-0.05342,9.78171,-0.11019
535,-0.09166,9.79159,-0.12932
586,-0.12029,9.80148,-0.11023
635,-0.13454,9.81591,-0.12935
686,-0.03416,9.79583,-0.13407
736,-0.26902,9.76950,-0.09599
785,-0.08671,9.80131,-0.05766
836,0.06148,9.78523,-0.18178
885,-0.03908,9.77685,-0.07674
936,-0.11555,9.79663,-0.11022
985,-0.15876,9.78741,-0.13891
1039,-0.10123,9.79172,-0.10544
1086,-0.01974,9.80050,-0.11973
1135,-0.05339,9.78647,-0.12452
1186,-0.06773,9.78668,-0.09587
1236,-0.09166,9.79160,-0.12932
1285,-0.10120,9.79645,-0.12932
1336,-0.09640,9.79644,-0.11499
1385,-0.02936,9.79580,-0.11495
1436,-0.04376,9.79117,-0.11018
1485,-0.08691,9.78678,-0.12454
1535,-0.11562,9.78712,-0.10067
1586,-0.10127,9.78695,-0.11500
1636,-0.05329,9.79607,-0.10541
1686,-0.03916,9.77198,-0.12451
1736,-0.06287,9.79614,-0.11497
1785,-0.10122,9.79174,-0.11022
1836,-0.11081,9.79181,-0.11978
1885,-0.10127,9.78693,-0.11499
1936,-0.06294,9.79131,-0.12930
1986,-0.06288,9.79613,-0.11497
2035,-0.09173,9.78207,-0.11021
2091,-0.10601,9.79179,-0.10544
2136,-0.09171,9.78681,-0.12932
2185,-0.06780,9.78183,-0.11975
2236,-0.05830,9.77220,-0.11019
2286,-0.09170,9.78683,-0.12454
2335,-0.09160,9.79642,-0.11021
2385,-0.10114,9.80127,-0.11977
2436,-0.08213,9.78673,-0.12932
2486,-0.05809,9.79609,-0.11497
2536,-0.06286,9.79617,-0.10064
2585,-0.09173,9.78208,-0.11021
2635,-0.09640,9.79644,-0.11977
2685,-0.10619,9.77264,-0.11978
2736,-0.07259,9.78188,-0.11976
2785,-0.06298,9.78653,-0.13408
2836,-0.06797,9.76272,-0.11498
2886,-0.08686,9.79158,-0.11499
2936,-0.09655,9.78206,-0.13410
2985,-0.09163,9.79167,-0.09588
3036,-0.07246,9.79621,-0.11975
3085,-0.07263,9.77710,-0.11976
3141,-0.08201,9.79636,-0.10065
3186,-0.09155,9.80124,-0.10066
3236,-0.07252,9.78672,-0.09587
3286,-0.08682,9.79635,-0.11976
3336,-0.07250,9.79143,-0.11975
3386,-0.07248,9.79148,-0.10065
3436,-0.07738,9.78191,-0.12453
3487,-0.10114,9.80127,-0.11499
3536,-0.07733,9.78671,-0.11020
3586,-0.08195,9.80586,-0.11498
3636,-0.07250,9.79143,-0.11498
3686,-0.08212,9.78676,-0.11498
3736,-0.06287,9.79614,-0.11020
3786,-0.07736,9.78195,-0.10543
3835,-0.07247,9.79619,-0.12931
3885,-0.07733,9.78671,-0.12454
3936,-0.08693,9.78207,-0.10544
3985,-0.08197,9.80113,-0.11021
4035,-0.10129,9.78222,-0.10067
4086,-0.08198,9.80111,-0.11021
4141,-0.06768,9.79614,-0.12931
4186,-0.08691,9.78679,-0.11976
4235,-0.08217,9.78195,-0.12454
4286,-0.07241,9.80100,-0.11976
4336,-0.08215,9.78200,-0.11021
4385,-0.08199,9.80110,-0.11976
4436,-0.07724,9.79627,-0.11976
4485,-0.09169,9.78686,-0.11977
4535,-0.08686,9.79160,-0.11977
4585,-0.06769,9.79144,-0.11020
4636,-0.08202,9.79636,-0.11021
4686,-0.06301,9.78178,-0.12453
4735,-0.07249,9.79147,-0.11020
4786,-0.08686,9.79158,-0.11977
4836,-0.07724,9.79627,-0.11976
4886,-0.09175,9.78203,-0.13410
4935,-0.08212,9.78674,-0.12454
4986,-0.08212,9.78675,-0.11976
5036,-0.08691,9.78680,-0.11977
5086,-0.08211,9.78678,-0.10543
5135,-0.08690,9.78683,-0.10543
5191,-0.07240,9.80103,-0.10542
5235,-0.07738,9.78192,-0.11976
5286,-0.08207,9.79155,-0.11499
5336,-0.08690,9.78681,-0.11499
5386,-0.06784,9.77706,-0.11975
5436,-0.08232,9.76290,-0.10065
5486,-0.08703,9.77246,-0.11021
5536,-0.08211,9.78677,-0.10543
5585,-0.07733,9.78671,-0.11020
5636,-0.07259,9.78187,-0.11498
5686,-0.09155,9.80124,-0.10544
5736,-0.08689,9.78684,-0.11021
5786,-0.09173,9.78210,-0.11022
5835,-0.07248,9.79148,-0.11020
5885,-0.07727,9.79153,-0.10543
5936,-0.07250,9.79143,-0.12931
5985,-0.08206,9.79157,-0.11021
6036,-0.07262,9.77714,-0.11020
6085,-0.06295,9.78662,-0.10542
6135,-0.07250,9.79144,-0.12453
6188,-0.08214,9.78202,-0.10543
6235,-0.07253,9.78670,-0.11020
6286,-0.09173,9.78208,-0.11021
6336,-0.07729,9.79148,-0.11976
6386,-0.07720,9.80105,-0.11498
6435,-0.08678,9.80112,-0.12454
6486,-0.07732,9.78675,-0.10543
6536,-0.10135,9.77740,-0.11022
6585,-0.07241,9.80100,-0.11976
6636,-0.06296,9.78657,-0.11975
6685,-0.06301,9.78179,-0.12453
6735,-0.09157,9.80118,-0.12455
6785,-0.08208,9.79153,-0.12454
6836,-0.08696,9.78200,-0.12932
6886,-0.06757,9.80575,-0.11020
6936,-0.07733,9.78672,-0.11498
6985,-0.06295,9.78661,-0.10064
7035,-0.07245,9.79623,-0.11498
7086,-0.08195,9.80587,-0.12454
7136,-0.08201,9.79636,-0.10543
7190,-0.07246,9.79622,-0.12454
7236,-0.08203,9.79631,-0.12454
7286,-0.08202,9.79634,-0.11499
