time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
931,30.60896100,-96.31592100,6,59.51422,0.42384,23,18
1979,30.60895570,-96.31591930,5,60.39551,0.17125,23,18
2983,30.60895040,-96.31591450,6,65.60000,0.42646,23,18
4029,30.60894350,-96.31590600,7,65.60000,0.74823,23,14
5032,30.60894070,-96.31589930,7,65.60000,0.40931,23,15
6032,30.60893890,-96.31589530,8,65.60000,0.70583,23,16
7029,30.60894110,-96.31588770,10,65.60000,1.17959,23,16
8031,30.60894700,-96.31587470,10,66.20000,0.99350,23,16
9032,30.60894960,-96.31586730,10,66.20000,0.99994,23,17
10032,30.60895920,-96.31585990,10,66.20000,1.03759,23,16
11080,30.60895920,-96.31585990,10,66.20000,1.03759,23,16
12080,30.60896800,-96.31586420,10,66.20000,1.08154,23,16
13132,30.60897450,-96.31586970,10,66.20000,1.02678,23,17
14130,30.60897630,-96.31587350,10,66.20000,0.99694,23,17
15136,30.60898150,-96.31587150,10,66.20000,1.06170,23,15
16133,30.60898520,-96.31585610,10,66.20000,0.99482,23,17
17131,30.60898540,-96.31584900,10,66.20000,0.99839,23,16
18133,30.60899110,-96.31584720,10,67.00000,0.88341,23,17
